title,description,link
Project 1,This project shows the libraries distribution worldwide.,https://info340d-au18.github.io/project-ChangyuLi18/ 
Project 2,This project classifies the poverty level based on some basic information of a household.,https://www.kaggle.com/shivamb/costa-rica-poverty-exploration-kernel
